ind,file_id,№sint,type,content,start,end
242,0059R,1,02,много	раз	начинал,0.0,1.111
243,0060R,1,12,а	во-вторых,0.0,0.734
244,0060R,2,02,это	нужно	всем	нам,1.205,2.477
245,0060R,3,13,и	в	первую	очередь,2.94,3.994
246,0060R,4,01a,твоей	маме,3.994,4.813
247,0061R,1,04a,витька,0.0,0.489
248,0061R,2,04a,родной	мой,0.489,1.171
249,0061R,3,02b,я	же	тебя	понимаю,1.593,2.877
250,0061R,4,10,и	жалею	как	никто,3.066,4.296
251,0061R,5,10,и	я	говорю,4.569,5.407
252,0061R,6,01b,это	нужно,5.655,6.497
253,0062R,1,04b,поверь,0.0,0.502
254,0063R,1,01a,она	обняла	его,0.0,1.121
255,0064R,1,11b,ее	руки,0.0,0.672
256,0064R,2,01a,стискивали	его	все	сильнее,0.672,2.449
257,0065R,1,02,он	знал,0.0,0.619
258,0065R,2,02,эта	внезапная	любовь	неподдельна,1.088,3.209
259,0066R,1,12,но	почувствовал	раздражение,0.0,1.722
260,0066R,2,01,и	отодвинул	лену	локтем,2.026,3.636
261,0066R,3,nouse,,3.636,5.026
262,0067R,1,02,ты	не	должна	была	сейчас	начинать,0.0,1.96
263,0067R,2,09,повторил	он	угрюмо,1.96,3.036
264,0068R,1,10,ну	хорошо,0.0,0.822
265,0068R,2,04b,ну	извини	меня,1.265,2.283
266,0069R,1,11b,но	я	же	забочусь	не	о	себе,0.0,1.612
267,0069R,2,07a,правда	же,1.743,2.36
268,0070R,1,04b,замолчи,0.0,0.766
269,0070R,2,09,почти	крикнул	он	шепотом,0.974,2.528
270,0071R,1,13,лена	отошла	к	тахте,0.0,1.239
271,0071R,2,01a,и	продолжала	раскладывать	постель	молча,1.239,3.578
272,0072R,1,11b,она	вынула	из	ящика,0.0,1.363
273,0072R,2,11,стоявшего	в	головах	тахты,1.363,3.046
274,0072R,3,10,толстую	клетчатую	скатерть,3.379,5.198
275,0072R,4,12,служившую	обыкновенно,5.45,6.667
276,0072R,5,02,подкладкой	под	простыню,6.667,8.144
277,0072R,6,13,но	иногда,8.422,9.086
278,0072R,7,10,применявшуюся	и	по	своему	прямому	назначению,9.086,12.023
279,0072R,8,10,для	обеденного	стола,12.252,13.605
280,0072R,9,13,на	скатерть	положила	простыню,14.598,16.335
281,0072R,10,13,которая	вздулась,16.507,17.568
282,0072R,11,10,и	легла	не	очень	ровно,17.66,18.973
283,0072R,12,11,и	лена	нагнулась,19.573,20.624
284,0072R,13,12,вытягивая	вперед	руки,20.78,22.114
285,0072R,14,10,чтобы	достать	до	дальнего	края	тахты,22.114,24.227
286,0072R,15,12,лицо	ее	при	этом,24.944,25.958
287,0072R,16,02,мгновенно	налилось	краской,25.958,27.67
288,0072R,17,13,а	живот	низко	провис,28.083,29.49
289,0072R,18,12,и	показался	дмитриеву,29.812,31.158
290,0072R,19,10,очень	большим,31.26,32.228
291,0072R,20,10,и	расправила	завернувшиеся	углы,32.848,34.837
292,0072R,21,11b,когда	стелил	дмитриев,35.158,36.462
293,0072R,22,02,он	никогда	не	расправлял	углов,36.786,38.388
294,0072R,23,13,потом	бросила	на	простыню	к	ящику	две	подушки,39.033,41.888
295,0072R,24,12a,одна	из	которых	была	с	менее	свежей	наволочкой,42.242,44.739
296,0072R,25,13,эта	подушка,44.984,45.69
297,0072R,26,01a,принадлежала	дмитриеву,45.69,47.029
298,0073R,1,12,вытянув	из	ящика	и	кладя	на	тахту	два	ватных	одеяла,0.0,3.113
299,0073R,2,10,лена	сказала	дрожащим	голосом,3.538,5.574
300,0073R,3,02,ты	меня	как	будто	обвиняешь	в	бестактности,6.333,8.896
301,0073R,4,02,но	честное	слово,9.354,10.364
302,0073R,5,04a,витя,10.364,10.805
303,0073R,6,11b,я	действительно	думала,11.292,12.929
304,0073R,7,01c,обо	всех	нас,12.929,13.772
305,0074R,1,01a,о	будущем	наташки,0.0,1.198
306,0075R,1,05,да	как	ты	можешь,0.0,1.073
307,0076R,1,03,что,0.0,0.502
308,0077R,1,11,как	ты	можешь	вообще,0.0,1.187
309,0077R,2,02,говорить	об	этом	сейчас,1.187,2.482
310,0078R,1,05,как	у	тебя	язык	поворачивается,0.0,1.886
311,0079R,1,02,вот	что	меня	изумляет,0.0,1.461
312,0079R,2,12,он	чувствовал,2.377,3.083
313,0079R,3,01a,что	раздражение	растет	и	рвется	на	волю,3.083,5.378
314,0080R,1,02,ей-богу,0.0,0.597
315,0080R,2,01b,в	тебе	есть	какой-то	душевный	дефект,0.597,2.698
316,0081R,1,01b,какая-то	недоразвитость	чувств,0.0,1.846
317,0082R,1,13,что-то,0.0,0.378
318,0082R,2,,прости	меня,0.378,1.105
319,0082R,3,02,недочеловеческое,1.234,2.467
320,0083R,1,05,как	же	можно,0.0,0.929
321,0084R,1,11b,дело	то	в	том,0.0,0.816
322,0084R,2,02,что	больна	моя	мать,0.816,2.247
323,0084R,3,02,а	не	твоя,2.247,2.93
324,0084R,4,07a,правда	ведь,3.069,3.799
325,0085R,1,11,и	на	твоем	бы	месте,0.0,1.224
326,0086R,1,04b,говори	тише,0.0,0.859
327,0087R,1,11b,на	твоем	бы	месте,0.0,1.189
328,0087R,2,11,я	никогда	первый,1.189,2.401
329,0088R,1,04b,тихо,0.0,0.499
330,0089R,1,01,она	махнула	рукой,0.0,1.111
331,0090R,1,01b,оба	прислушались,0.0,1.04
332,0091R,1,10,нет,0.0,0.34
333,0091R,2,01a,все	было	тихо,0.594,1.5
334,0092R,1,11,дочка	спала,0.0,0.742
335,0092R,2,01a,за	ширмой	в	углу,0.742,1.71
336,0093R,1,13,там	же	за	ширмой,0.0,0.869
337,0093R,2,10,стоял	ее	письменный	столик,0.869,2.46
338,0093R,3,13,за	которым	вечерами,2.681,3.75
339,0093R,4,01a,она	готовила	уроки,3.75,4.977
340,0094R,1,13,дмитриев	смастерил	и	повесил	над	столиком	полку	для	книг,0.0,3.382
341,0094R,2,13,провел	туда	электричество	для	настольной	лампы,3.797,6.539
342,0094R,3,12,сделал	за	ширмой,7.068,8.228
343,0094R,4,10,особую	комнатку,8.356,9.648
344,0094R,5,10,одиночку,9.944,10.72
345,0094R,6,01a,как	называли	ее	в	семье,11.054,12.718
346,0095R,1,12,дмитриев	и	лена,0.0,0.957
347,0095R,2,13,спали	на	широкой	тахте,0.957,2.297
348,0095R,3,02,чехословацкого	производства,2.297,4.005
349,0095R,4,11,удачно	купленной,4.223,5.213
350,0095R,5,13,три	года	назад,5.213,6.166
351,0095R,6,12,и	являвшейся,6.592,7.419
352,0095R,7,01c,предметом	зависти	знакомых,7.419,9.285
353,0096R,1,10,тахта	стояла	у	окна,0.0,1.447
354,0096R,2,12,ее	отделял	от	одиночки,1.965,3.504
355,0096R,3,10,дубовый	с	резными	украшениями	буфет,3.757,6.343
356,0096R,4,13,доставшийся	лене,6.673,7.694
357,0096R,5,02,в	наследство	от	бабушки,7.694,9.082
358,0096R,6,10,вещь	нелепая,9.719,10.739
359,0096R,7,11,которую	дмитриев,11.018,12.032
360,0096R,8,02,много	раз	предлагал	продать,12.313,13.98
361,0096R,9,02,лена	тоже	была	не	против,14.526,16.029
362,0096R,10,01a,но	возражала	теща,16.536,18.038
363,0097R,1,11,вера	лазаревна,0.0,1.012
364,0097R,2,10,жила	недалеко,1.333,2.308
365,0097R,3,02,через	два	дома,2.544,3.47
366,0097R,4,12,и	приходила	к	лене,3.986,5.046
367,0097R,5,10,почти	ежедневно,5.046,6.209
368,0097R,6,12,под	предлогом	помочь	наташеньке,6.209,8.537
369,0097R,7,10,и	облегчить	ленусе,8.914,10.568
370,0097R,8,12,а	на	самом	деле,11.16,12.121
371,0097R,9,10,с	единственной	целью,12.46,13.874
372,0097R,10,01,беспардонно	вмешиваться	в	чужую	жизнь,14.287,17.242
373,0097R,11,nouse,,17.242,20.104
374,0098R,1,11,вечерами	ложась	на	свое	чешское	ложе,0.0,2.426
375,0098R,2,12,оказавшееся	не	очень	то	прочным,2.777,4.81
376,0098R,3,12,вскоре	оно	расшаталось	и	скрипело	при	каждом	движении,5.213,8.044
377,0098R,4,12,дмитриев	и	лена	всегда	долго	прислушивались	к	звукам,8.707,11.94
378,0098R,5,10,доносившимся	из	одиночки,11.94,13.76
379,0098R,6,02,стараясь	понять,14.246,15.189
380,0098R,7,12,заснула	дочка,15.453,16.513
381,0098R,8,10,или	нет,16.624,17.136
382,0098R,9,12a,дмитриев	звал,18.079,19.066
383,0098R,10,10,проверяя	вполголоса,19.066,20.467
384,0098R,11,04a,наташ,20.906,21.523
385,0099R,1,04a,а	наташ,0.0,0.745
386,0100R,1,12,лена	подходила	на	цыпочках,0.0,1.636
387,0100R,2,01a,и	смотрела	сквозь	щелку	в	ширме,1.758,3.734
